start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
5506.04,5507.84,JENNY,FORREST,HAND,HAND,DANCE,1,STRONG_POSITIVE,STRONG_POSITIVE,0,NARRATION
5508.00,5516.52,FORREST,JENNY,ARM,ARM,NESTLE,0,STRONG_POSITIVE,STRONG_POSITIVE,0,NARRATION
5508.00,5516.52,JENNY,FORREST,ARM,ARM,NESTLE,0,STRONG_POSITIVE,STRONG_POSITIVE,0,NARRATION
5510.00,5515.20,JENNY,FORREST,ARM,BACK HIP,ARM_AROUND_SHOULDER,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
5540.84,5542.88,JENNY,FORREST,HAND,BACK,BRUSH PAST,0,POSITIVE,POSITIVE,1,
5541.56,5541.80,JENNY,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
5632.56,5633.44,JENNY,FORREST,FACE,FACE,,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
5634.76,5636.24,JENNY,FORREST,HAND,HIP,PAT,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5643.52,5648.60,FORREST,JENNY,ABDOMEN CHEST ARM HAND,ABDOMEN CHEST BACK,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
5649.40,5649.72,JENNY,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5655.80,5662.28,FORREST,JENNY,ABDOMEN CHEST ARM HAND,ABDOMEN CHEST BACK,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
5923.20,5938.68,FORREST,MEN,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
5923.20,5938.68,MEN,FORREST,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6077.68,6087.60,CROWD,CROWD,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6107.72,6134.56,CROWD,CROWD,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6138.84,6139.04,MEN,MEN,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6189.76,6190.04,FORREST,WOMAN,HAND,HAND,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6204.24,6206.12,JENNY,FORREST,CHEST ARM,CHEST ARM,HUG,1,STRONG_POSITIVE,POSITIVE,1,NARRATION
6279.12,6280.68,BOY,WOMAN,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,0,
6279.12,6280.68,WOMAN,BOY,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,0,
6280.76,6283.96,JENNY,BOY,ARM HIP,ABDOMEN LEG ARM,CARRY,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
6287.84,6303.68,JENNY,BOY,ARM HIP,ABDOMEN LEG ARM,CARRY,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6294.32,6298.76,JENNY,BOY,HAND,CHEST,PAT,0,POSITIVE,POSITIVE,1,
6302.00,6304.52,JENNY,BOY,ARM HIP HAND,ABDOMEN LEG ARM,CARRY,0,POSITIVE,POSITIVE,1,
6344.80,6345.56,JENNY,FORREST,HAND,CHEST,PAT,0,POSITIVE,POSITIVE,1,
6346.04,6349.72,JENNY,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,NARRATION
6479.40,6501.00,WOMAN,FORREST,HAND,SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,1,
6502.80,6510.68,JENNY,FORREST,HAND,NECK CHEST,FIX_CLOTHING,0,POSITIVE,POSITIVE,1,NARRATION
6557.96,6562.16,DAN,WOMAN,ARM,SHOULDER,ARM_AROUND_SHOULDER,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6574.88,6575.64,JENNY,DAN,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
6587.00,6589.32,JENNY,BOY,HAND,ARM,PULL_SOMEBODY,0,POSITIVE,POSITIVE,1,
6589.88,6599.08,FORREST,JENNY,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
6589.88,6599.08,JENNY,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6595.64,6599.08,DAN,WOMAN,HAND,SHOULDER,PAT,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6602.16,6607.56,FORREST,JENNY,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
6602.16,6607.56,JENNY,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
6606.96,6613.36,FORREST,BOY,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
6643.08,6644.12,JENNY,FORREST,HAND,LEG,PAT,0,POSITIVE,POSITIVE,1,
6724.68,6727.12,JENNY,FORREST,HAND,HAND,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
6782.92,6783.84,FORREST,BOY,FACE,HEAD,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6955.92,6965.56,FORREST,BOY,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6969.20,6970.04,FORREST,BOY,ARM,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
